Tahun,Unit,KPI,Risiko,Penyebab Risiko,Justifikasi Consequence ,Nilai Consequence Risiko Inheren,Nilai Likelihood Risiko Inheren,Skor Risiko Inheren,Level Risiko Inheren,Respon,Pengendalian Yang Sudah Ada,Rencana Pengendalian,Ukuran Keberhasilan,Target Waktu Penyelesaian,Accountable (A),Responsible (R),Consult (C),Inform (I),Nilai Consequence (Risiko Residu),Nilai Likelihood (Risiko Residu),Level Risiko Residu,Tanggal Disetujui,Risk Analyst,Risk Owner,Menyetujui,Mengetahui,Menyusun,Pencapaian Tujuan Tahunan,Tanggal Diketahui,Risk ID,Status Risiko,ID,Status Dokumen,Skor Risiko Residu,Top Risk,Risk Officer,Tanggal Registrasi,Approver
"2023","TI","C1.1  Internal Customer Satisfaction Index","Kurangnya value added yang dirasakan oleh auditee terhadap rekomendasi internal audit ","1. Secara teknis, audit gagal untuk memberikan resullt simpulan masalah 
2. Komunikasi dengan auditee tidak dua arah dan frekuensinya sangat jarang
3. Kurang akurasi dalam tekhnik audit yang dilakukan   
4. Kesulitan dalam melakukan implementasi strategi rekomondasi yang di berikan auditor 
5. Kurangnya knowledge bisnis management auditor","1. Masih terdapat kendala dalam pencapaian target auditee
2. Proses komunikasi auditor dengan auditee tidak berjalan dengan baik
3. Rekomendasi yang diberikan tidak bisa dijalankan dengan baik oleh auditor karena tidak allign dengan kondisi di lapangan
4.Perumusan finding audit yang kurang tajam dari auditor
5. Terhambatnya pengambilan keputusan rekomendasi karena kurang knowledge management ","3","3","9","High","Reduce","1. Menyampaikan daftar temuan sementara kepada auditee untuk dapat di klarifikasi
2. Meningkatkan pelaksanaan desk audit per area bisnis proses.
3. Memperbanyak frekuensi penugasan konsultasi dan review (untuk auditor dan unit)
4. Meningkatkan pemahaman dan integrasi bisnis proses yang ada di GMF
5.Melakukan improvement terhadap respon complaint dari auditee
","1. Meningkatkan frekuensi penugasan konsultasi dan review (untuk auditor dan unit)
2. Meningkatkan koordinasi dengan surveilance rutine dan PIC kontrol tindak lanjut pareto hasil survey
3. Meningkatkan pemahaman teknik audit yang sesuai dan systematis
4. Melakukan control rekomondasi auditee terhadap program audit 
5. Menambah knowledge bisnis management pada auditor dengan training ","1. IPP pelaksanaan audit
2. Surveilance terlaksana
3.  Requirement auditee sudah masuk dalam audit requirement
4. Penilaian CSI auditee terlaksana baik verbal atau tulisan 
5. Strategi rekomondasi  diimplementasikan di Dinas
6. Training terlaksana untuk menambah knowledge auditor dalam bisnis management","Semesterly","VP-TI","PDCA-Biz(TIC,TIA)","TD","DT","2","3","Medium","3/16/2023","Dwi Wahyu Kartiko","Deddy Fezantino","Deddy Fezantino","Chairuddin",,,"3/21/2023",,"Open","2",,"6","Ya","Carolina Rearini/531960",,
"2023","TI","I1.1   Closure of Audit Action Items","auditee tidak memprioritaskan penyelesaian tindak lanjut audit","1. Prioritas auditor, pemberi tugas dan auditee tidak sama
2. Audit tidak mewacanakan urgensi permasalahan/audit secara proporsional kepada auditee dan stakeholder
","
Masih banyak jumlah temuan audit belum close
","2","3","6","Medium","Reduce","1. Pemanggilan auditee untuk penyelesaian tindak lanjut audit.
2. Menyamakan prioritas dengan auditee untuk alignment penyelesaian tindak lanjut
3. Memberikan pemahaman yang memadai atas urgensi audit
4. Taxonomi meeting dengan Direksi terkait tindak lanjut audit TI
5. Reminder oleh Direktur terkait apabila belum ada tindak lanjut dari auditee","1. Monitoring audit yang diluar dari time frame dengan menerbitkan BA-menerima resiko untuk MTL tidak closed > 1 tahun dan tidak bisa di selesaikan
2. Invited audite untuk koordinasi matrik tindak lanjut yang belum closed","1.BA-menerima resiko matrik tindak lanjut yang disutujui team audit dan komite audit
2. 'Penyelesaian tidak lanjut audit terlaksana sesuai target
","Quarterly","VP-TI","PDCA-Biz(TIC,TIA)","TD","DT","2","2","Low","3/16/2023","Dwi Wahyu Kartiko","Deddy Fezantino","Deddy Fezantino","Chairuddin",,,"3/21/2023",,"Open","3",,"4","Ya","Carolina Rearini/531960",,
"2023","TI","I1.3 Governance Risk & Compliance(GRC)","Kurangnya pemahaman terhadap parameter GCG terkait peran  internal Audit di perusahaan sehingga tidak tercermin pada kebijakan( SOP), dan aktifitas audit serta keterlambatan dalam mitigasi resiko dalam pencapaian target KPI","1. Cascading charter kepada SOP audit tidak jelas dan tidak disepahamkan
2. SOP audit dinamis
3. Perubahan SOP audit tidak disosialisasikan
4. Administrasi audit bersifat monoton dan fatigue
5. Budget masih terbatas untuk pengadaan konsultan dalam pelaksanaan external assestment(mandatory/best practice)
6. Belum ada fungsi QA di dinas TI sehigga belmu ada pelaksanaan self assestment dalam pengendalian internal audit","1. Proses audit tidak terdokumentasi dengan sistematis.
2. Pertanggungjawaban atas proses audit sulit dibuktikan, karena tidak ada kertas kerja dan dokumentasi proses audit
3. Kertas kerja/bukti audit dari prosedur audit berikut dokumentasi atas proses audit tidak ada/tidak terdokumentasikan
4. Performanca pengendalian internal audit belum di lakukan sehingga tidak terukur ","2","2","4","Low","Reduce","1. Mensosialisasikan dan mengkomunikasikan kesepakatan dinamika SOP audit
2. Sosialisasi Parameter GCG kepada seluruh personil Internal Audit
3. Comply dalam membuat kertas kerja dan mendokumentasikan bukti audit untuk setiap prosedur yang dilakukan
","1. Fungsi QA melakukan fungsi pengendalian di internal dinas TI,(pelaporan dinas, tindak lanjuit, knowledge management 
2. Self assestment pengendalian internal dinas TI terlaksana
3. Risk maturirty dan risk assigment monitoring dilakukan dan di report ke risk management quarterly
4. Finding GCG closed sesuai time frame atau plan","1. Parameter GCG tersosialisasikan
2. Fungsi QA terlaksana 
3. Risk assigment montoring terlaksana 
4. No finding GCG
5. Risk assestment terlaksana sesuai time frame","Monthly","VP-TI","PDCA-GCG,PDCA-Risk(TIC-TIA)","TS,TA","DT","1","3","Low","3/16/2023","Dwi Wahyu Kartiko","Deddy Fezantino","Deddy Fezantino","Chairuddin",,,"3/21/2023",,"Open","5",,"3","Tidak","Carolina Rearini/531960",,
"2023","TI","I14.Asset management","'Keterlambatan dalam report monthly asset dari dinas TI","1. Control asset yang belum di lakukan oleh personel TI/dinas TI 
2. Personel imcharge controling asset belum ada di dinas TI","1. Potensi  tidak ada kontrol terhadap asset dinas TI

","2","2","4","Low","Reduce","n/a","1. Melakukan monitoring asset 
2. Report monthly terlaksana-untuk asset TI","Report monthly tersedia dan PDCA control asset available","Monthly","VP-TI","TIC,TIA","TA","DT","1","2","Low","3/16/2023","Dwi Wahyu Kartiko","Deddy Fezantino","Deddy Fezantino","Chairuddin",,,"3/21/2023",,"Open","6",,"2","Tidak","Carolina Rearini/531960",,
"2023","TA","Budget Realization","Adanya aktivitas tambahan yang berasal dari manajemen request yang belum dibudgetkan di awal tahun serta Adanya realokasi budget anggaran yang tidak sesuai","1. Penambahan aktivitas management request 
2. Penyusunan budget yang tidak sesuai dan adanya budget yang tidak teranggarkan","KPI Budget Realization melebihi anggaran (Merah)","3","3","9","High","Reduce","Koordinasi dengan unit terkait untuk realokasi budget","1. Meminimalisasi adanya aktivitas tambahan sehingga tidak perlu adanya tambahan budget
2.  Melakukan Koordinasi untuk budget Akun-akun yang jumlanya tidak sesuai agar budget tahun depan tidak melakukan realokasi anggaran
3. Tidak melakukan aktivitas tambahan dan menunda realisasi anggaran di tahun depan","Realisasi tidak melebihi budget yang dianggarkan","setiap bulan","VP TA","All SM TA","TAB","DF","4","1","Low",,"Brian Harfiansyah 580460","Chairuddin",,,,,,,"Open","7",,"4","Ya","Muhammad Ifroh Thobibul Qulub",,
"2023","TI","I15 Continuous Improvement","1. Terbatasnya budget pengembangan tools audit 2. Keterbatasan kemampuan dalam pengembangan tools audit 3. Tidak adanya spare waktu untuk melakukan pengembangan tools audit 4. Perbaikan proses tidak efisien dan efektif","1. Program Efisiensi dan cutting cost dinas Internal Audit
2. Belum ada pengalaman melakukan pengembangan tools audit
3. Padatnya jadwal pelaksanaan audit tahunan
4. Dinamika proses audit yang berubah-ubah
5. Alert system yang belum ada jika ada audit external","1. Proses Audit tidak efisien waktu
2. Potensi kehilangan dokumen audit
3. Proses dan dokumentasi audit tidak sistematis
4. Proses audit tidak terstruktur","3","2","6","Medium","Reduce","1. Memanfaatkan tools yang ada saat ini seperti email, folder publik TI, teams, dan folder pribadi personil TI
2. Revisi Prosedur Bisnis TI, menyesuaikan dengan standarisasi ","1.Pengesahan prosedur bisnis TI  dan allign dengan SDA tools monitoring
2.SDA tools monitoring audit terimplementasi","1. Prosedur Bisnis TI disetujui dan di implementasikan
2. SDA tools audit  berjalan aktif
3. Early warning system tools berjalan efektif","Semesterly","VP-TI","TIC,TIA","TD","DT","2","1","Low","3/16/2023","Dwi Wahyu Kartiko","Deddy Fezantino","Deddy Fezantino","Chairuddin",,,"3/21/2023",,"Open","8",,"2","Ya","Carolina Rearini/531960",,
"2023","TD","F1.1 Budget Realization","Realisasi budget dinas TD mengalami over budget","Munculnya biaya-biaya corporate dan biaya-biaya yang terjadi pada periode sebelumnya","Berpotensi menghambat pelaksanaan kegiatan yang telah dianggarkan","3","3","9","High","Reduce","- Realisasi anggaran sesuai prosedur
- Monitoring realiasi anggaran setiap bulan","Melakukan koordinasi dengan unit Accounting & Financial Analysis untuk merapikan pencatatan biaya","- Monitoring Realisasi anggaran  terlaksana setiap bulannya
- Realisasi anggaran < budget","Monthly","VP TD","Budget Controller","TA","TA","1","2","Low","3/17/2023","Brian Harfiansyah 580460","Fidiarta Andika","Fidiarta Andika","Chairuddin",,,"3/21/2023",,"Open","9",,"2","Ya","Faza Yoshio Susanto",,"Fidiarta Andika"
"2023","TD","C1.1 Customer Satisfaction Index","Customer tidak puas atas layanan IT GMF","- Terdapat gangguan pada sistem, jaringan atau infrastruktur
- Terjadi keterlambatan pembayaran layanan IT","- Berpotensi mendapatkan complaint dari customer
- Berpotensi menghambat pekerjaan operasional di area GMF","3","4","12","High","Reduce","Monitoring layanan IT secara berkala","Memastikan pembayaran layanan IT sesuai dengan tagihan dan tepat waktu","- Layanan IT berjalan dengan normal
- Tagihan vendor IT dibayarkan sesuai timeframe yang disepakati
- Tidak ada komplain dari customer untuk layanan IT","Monthly","VP TD","TDI, TDO","TP","TD","2","1","Low","3/17/2023","Brian Harfiansyah 580460","Fidiarta Andika","Fidiarta Andika","Chairuddin",,,"3/21/2023",,"Open","10",,"2","Ya","Faza Yoshio Susanto",,"Fidiarta Andika"
"2023","TI","'L1.1 Human Capital Readiness","1.Kompetensi personil TI belum sesuai dengan PCM  2. Berkurangnya jumlah lead auditor 2023","'1. Rekrutmen internal TI masihberlangsung
2. IDP personil TI belum terdefinisikan dengan baik
3. Assesstment lead belum di lakukan untuk mempersiapkan posisi lead yang akan pensiun di tahun 2023","1. Audit Plan tidak tercapai
2. Kualitas audit kurang baik","2","3","6","Medium","Reduce","1. Proses rekrutmen sedang berlangsung
2. Pemetaan personil yang membutuhkan training mandatory QIA
3. Proses assesstment sedang berlangsung","1. Pengajuan budget training untuk personil TI
2. Melaksanakan rekrutmen dengan standard minimum di TI
3. Koordinasi dengan TH untuk assest lead audior
4. Menyusun rencana IDP dan implementasinya
5. Koordinasi dengan TH untuk penambahan training sesuai dengan PCM yang baru","1. IDP Implemented
2. Personil TI tersertifikasi QIA
3. Bertambahnya personel TI sesuai dangan manpower planning 2023
4. Training sesuai PCM terlaksana","Monthly","VP-TI","PDCA-People(TIC,TIA)","TH","DT","2","1","Low","3/16/2023","Dwi Wahyu Kartiko","Deddy Fezantino","Deddy Fezantino","Chairuddin",,,"3/21/2023",,"Open","11",,"2","Tidak","Carolina Rearini/531960",,
"2023","TD","I2.1 MRO Strategic Collaboration","Tidak tercapainya kesepakatan dengan partner pada rencana pengembangan inorganic","- Karena partner memiliki interest tersendiri dalam setiap negosiasi
- Perubahan rencana bisnis Perusahaan ","Proyeksi revenue dan net profit perusahaan tidak mencapai target RKAP","3","3","9","High","Reduce","Monitoring progress rencana pengembangan inorganic secara berkala","Penyiapan alternatif untuk setiap rencana pengembangan inorganic","- Pengembangan bisnis terlaksana (MoU)
- Target revenue dan net profit perusahaan tercapai sesuai dengan RKAP","Desember 2023","VP TD","TDB","TS, TI","BoD","2","2","Low","3/17/2023","Brian Harfiansyah 580460","Fidiarta Andika","Fidiarta Andika","Chairuddin",,,"3/21/2023",,"Open","12",,"4","Ya","Faza Yoshio Susanto",,"Fidiarta Andika"
