Nama Dinas,Risk ID,KPI,Target,Pencapaian KPI YTD,Pencapaian KPI Jan,Pencapaian KPI Feb,Pencapaian KPI Mar,Pencapaian KPI Apr,Pencapaian KPI Mei,Pencapaian KPI Jun,Pencapaian KPI Jul,Pencapaian KPI Aug,Pencapaian KPI Sep,Pencapaian KPI Oct,Pencapaian KPI Nov,Pencapaian KPI Dec,Risiko,Rencana Pengendalian,PIC/ UIC,Ukuran Keberhasilan,Target Waktu Penyelesaian,Assigned to,Progress,Jan % Pencapaian Indikator Keberhasilan,Jan Justifikasi Status Penyelesaian,Jan Catatan Risk Analyst,Feb % Pencapaian Indikator Keberhasilan,Feb Justifikasi Status Penyelesaian,Feb Catatan Risk Analyst,Mar % Justifikasi Status Penyelesaian,Mar Justifikasi Status Penyelesaian,Mar Catatan Risk Analyst,Apr % Pencapaian Indikator Keberhasilan,Apr Justifikasi Status Penyelesaian,May % Pencapaian Status,May Justifikasi Status Penyelesaian,May Catatan Risk ANalyst,Jun % Pencapaian Indikator Keberhasilan,Jun Justifikasi Status Penyelesaian,Jun Catatan Risk Analyst,Jul % Pencapaian Indikator Keberhasilan,Jul Justifikasi Status Penyelesaian,Jul Catatan Risk Analyst,Aug % Pencapaian Indikator Keberhasilan,Aug Justifikasi Status Penyelesaian,Aug Catatan Risk Analyst,Sep % Pencapaian Indikator Keberhasilan,Sep Justifikasi Status Penyelesaian,Sep Catatan Risk Analyst,Oct % Pencapaian Indikator Keberhasilan,Oct Justifikasi Status Penyelesaian,Oct Catatan Risk Analyst,Nov % Pencapaian Indikator Keberhasilan,Nov Justifikasi Status Penyelesaian,Nov Catatan Risk Analyst,Dec % Pencapaian Indikator Keberhasilan,Dec Justifikasi Status Penyelesaian,Dec Catatan Risk Analyst,Submission Month
"TA","27","On Time Invoicing Process","100","100",,,,,,,,,,,,,"Risiko pembuatan invoice untuk project dan retail tidak sesuai dengan lead time","Creating Invoice for Project & Retail in certain lead time","Chairuddin","Invoice available in time for package & NPPA post production invoice","Dec 2023","Muhammad Ifroh Thobibul Qulub","In progress","100%","Pada Januari invoice tersedia sesuai dengan TAT yang disepakati",,"100%","Pada Februari invoice tersedia sesuai dengan TAT yang disepakati",,"100%","Pada Maret invoice tersedia sesuai dengan TAT yang disepakati",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TD","9","F1.1 Budget Realization","<Pencapaian revenue GMF bulan sebelumnya","76.27%","69.41%","76.27%",,,,,,,,,,,"Realisasi budget dinas TD mengalami over budget","Melakukan koordinasi dengan unit Accounting & Financial Analysis untuk merapikan pencatatan biaya","Fidiarta Andika","- Monitoring Realisasi anggaran  terlaksana setiap bulannya
- Realisasi anggaran < budget","Monthly","Faza Yoshio Susanto","In progress","100%","- Koordinasi dengan unit TAB untuk verifikasi realisasi anggaran terlaksana
- Realisasi anggaran < target",,"100%","- Koordinasi dengan unit TAB untuk verifikasi realisasi anggaran terlaksana
- Realisasi anggaran < target",,"100%","- Koordinasi dengan unit TAB untuk verifikasi realisasi anggaran terlaksana",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TD","10","C1.1 Customer Satisfaction Index","4.00","TBD","Pengukuran KPI Quarterly","Pengukuran KPI Quarterly","TBD",,,,,,,,,,"Customer tidak puas atas layanan IT GMF","Memastikan pembayaran layanan IT sesuai dengan tagihan dan tepat waktu","Fidiarta Andika","- Layanan IT berjalan dengan normal
- Tagihan vendor IT dibayarkan sesuai timeframe yang disepakati
- Tidak ada komplain dari customer untuk layanan IT","Monthly","Faza Yoshio Susanto","In progress","100%","- Layanan IT berjalan dengan normal
- Tagihan vendor IT dibayarkan sesuai timeframe yang disepakati
- Tidak ada komplain dari customer untuk layanan IT",,"100%","- Layanan IT berjalan dengan normal
- Tagihan vendor IT dibayarkan sesuai timeframe yang disepakati
- Tidak ada komplain dari customer untuk layanan IT",,"100%","- Layanan IT berjalan dengan normal
- Tagihan vendor IT dibayarkan sesuai timeframe yang disepakati",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TD","12","I2.1 MRO Strategic Collaboration","1","TBD","Pengukuran KPI Annually","Pengukuran KPI Annually","Pengukuran KPI Annually",,,,,,,,,,"Tidak tercapainya kesepakatan dengan partner pada rencana pengembangan inorganic","Penyiapan alternatif untuk setiap rencana pengembangan inorganic","Fidiarta Andika","- Pengembangan bisnis terlaksana (MoU)
- Target revenue dan net profit perusahaan tercapai sesuai dengan RKAP","Desember 2023","Faza Yoshio Susanto","In progress","0%","- GMF masih melakukan kajian terkait kerjasama yang dapat dilakukan.
- Pengembangan bisnis belum terlaksana
- Target revenue dan net profit belum mencapai target RKAP",,"0%","- GMF masih melakukan kajian terkait kerjasama yang dapat dilakukan.
- Pengembangan bisnis belum terlaksana
- Target revenue dan net profit belum mencapai target RKAP",,"0%","- GMF masih melakukan kajian terkait kerjasama yang dapat dilakukan.
- Pengembangan bisnis belum terlaksana
- Target revenue dan net profit belum mencapai target RKAP",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TD","15","I1.2 Asset Management","100%","100%","100%","100%","100%",,,,,,,,,,"Asset investasi dinas TD tidak terutilisasi dengan maksimal","Monitoring utilisasi aset investasi","Fidiarta Andika","- Laporan monitoring utilisasi aset tersedia
- Aset dinas TD terutilisasi dengan baik","Monthly","Faza Yoshio Susanto","In progress","100%","- Laporan monitoring utilisasi aset tersedia
- Aset dinas TD terutilisasi dengan baik",,"100%","- Laporan monitoring utilisasi aset tersedia
- Aset dinas TD terutilisasi dengan baik",,"100%","- Laporan monitoring utilisasi aset tersedia
- Aset dinas TD terutilisasi dengan baik",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TZ","93","COPQ",,,"100","100","100",,,,,,,,,,"Terjadinya COPQ project","1. identification & mitigation COPQ implemention
2. Development HSE personeel di TZ","Cornelis Radjawane","surveillance rutin di laporkan dan report tersedia","Q2","Fachmi Yuni Arista","In progress","30%","Surveillance sudah rutin di lakukan namun skema report masih disiapkan ","Beberapa temuan dan sudah di follow up","50%","Surveillance sudah rutin di lakukan namun skema report masih disiapkan ","Beberapa temuan dan sudah di follow up","90%","Surveillance sudah rutin di lakukan namun skema report masih disiapkan ","Beberapa temuan dan sudah di follow up",,,,,,,,,,,,,,,,,,,,,,,,,,,
"TZ","94","Customer SLA Fulfillment",,,"100","96",,,,,,,,,,,"SLA customer yang tidak tercapi ","1. melakukan monitoring rutine terhadap Cash Flow
2. melakukan monitoring rutine terhadap performance payment plan","Cornelis Radjawane","report monitoring tersedia","Q2","Fachmi Yuni Arista","In progress","50%","Report belum tersedia karena masih persiapan report yang dibutuhkan","Dalam penyusunan template report Performance cash flow","100%","Report available","ada beberapa payment plan yang tidak sesuai dengan target ","100%","Report available","ada beberapa payment plan yang tidak sesuai dengan target ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"TZ","106","Continuous Improvement ",,,"100","100","100",,,,,,,,,,"terdapat item continues improvement yang tidak terlaksana","pembuatan additional continues improvement diluar dari yang sudah di rencanakan","Cornelis Radjawane","terdapat 4 continues improvement di tahun 2023","Q3","Fachmi Yuni Arista","In progress","100%","dari 4 CI yang terdaftar masih on progress","N/A","100%","dari 4 CI yang terdaftar masih on progress","N/A","100%","dari 4 CI yang terdaftar masih on progress","N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,
"TI","2","C1.1  Internal Customer Satisfaction Index","3.75","N/A",,,,,,,,,,,,,"Kurangnya value added yang dirasakan oleh auditee terhadap rekomendasi internal audit ","1. Meningkatkan frekuensi penugasan konsultasi dan review (untuk auditor dan unit)
2. Meningkatkan koordinasi dengan surveilance rutine dan PIC kontrol tindak lanjut pareto hasil survey
3. Meningkatkan pemahaman teknik audit yang sesuai dan systematis
4. Melakukan control rekomondasi auditee terhadap program audit 
5. Menambah knowledge bisnis management pada auditor dengan training ","Deddy Fezantino","1. IPP pelaksanaan audit
2. Surveilance terlaksana
3.  Requirement auditee sudah masuk dalam audit requirement
4. Penilaian CSI auditee terlaksana baik verbal atau tulisan 
5. Strategi rekomondasi  diimplementasikan di Dinas
6. Training terlaksana untuk menambah knowledge auditor dalam bisnis management","Semesterly","Carolina Rearini/531960","In progress","100%","1. Frekuensi konsultasi auditor dan unit (auditee) dimasukan dalam IPP done 
2. Surveilence program audit done di lakukan
3. PB 2022 mengenai pemahaman teknik audit done di sosialisikan dan sesuai dengan requirement audit yang dilakukan
4. Control rekomondasi auditee program audit terlaksana monthly
5. Training control LCU untuk menambah knowledge bisnis auditor 
6. Matrix penilaian audit terhadap CSI under progres matrix dilakukan PDCA CSI dan di report per semester ",,"100%","1. Frekuensi konsultasi auditor dan unit (auditee) dimasukan dalam IPP done 
2. Surveilence program audit done di lakukan
3. PB 2022 mengenai pemahaman teknik audit done di sosialisikan dan sesuai dengan requirement audit yang dilakukan
4. Control rekomondasi auditee program audit terlaksana monthly
5. Training control LCU untuk menambah knowledge bisnis auditor 
6. Matrix penilaian audit terhadap CSI under progres matrix dilakukan PDCA CSI dan di report per semester ",,"100%","1. Frekuensi konsultasi auditor dan unit (auditee) dimasukan dalam IPP done 
2. Surveilence program audit done di lakukan
3. PB 2022 mengenai pemahaman teknik audit done di sosialisikan dan sesuai dengan requirement audit yang dilakukan
4. Control rekomondasi auditee program audit terlaksana monthly
5. Training control LCU untuk menambah knowledge bisnis auditor 
6. Matrix penilaian audit terhadap CSI under progres matrix dilakukan PDCA CSI dan di report per semester ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TI","3","I1.1   Closure of Audit Action Items","75%","100%",,,,,,,,,,,,,"auditee tidak memprioritaskan penyelesaian tindak lanjut audit","1. Monitoring audit yang diluar dari time frame dengan menerbitkan BA-menerima resiko untuk MTL tidak closed > 1 tahun dan tidak bisa di selesaikan
2. Invited audite untuk koordinasi matrik tindak lanjut yang belum closed","Deddy Fezantino","1.BA-menerima resiko matrik tindak lanjut yang disutujui team audit dan komite audit
2. 'Penyelesaian tidak lanjut audit terlaksana sesuai target
","Quarterly","Carolina Rearini/531960","In progress","0%","1.BA-menerima resiko matrik tindak lanjut  telah dikirim ke auditee yang telah disetujui komite audit 
2. 'Penyelesaian MTL Progress (0%)",,"40%","1.BA-menerima resiko matrik tindak lanjut  telah dikirim ke auditee yang telah disetujui komite audit 
2. 'Penyelesaian MTL Progress (40%)",,"100%","1.BA-menerima resiko matrik tindak lanjut  telah dikirim ke auditee untuk MTL yang diluar taget time frame closed audit
2. 'Penyelesaian MTL Progress (100%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
